title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories,url,categoryName
La Vieja Guarida,4.3,1810,Guardia Vieja 3777,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://facebook.com/laviejaguarida,+54 11 5835-3232,"['Restaurante','Centro cultural','Teatro']",https://www.google.com/maps/search/?api=1&query=La%20Vieja%20Guarida&query_place_id=ChIJeeC9d2LKvJURZ1Pem_ebsQw,Restaurante
Imaginario Cultural Bar,4.2,1737,Guardia Vieja 3799,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/imaginariocultural/,\N,['Bar'],https://www.google.com/maps/search/?api=1&query=Imaginario%20Cultural%20Bar&query_place_id=ChIJCbGEe2LKvJURztmjrb8HU7g,Bar
TJ Club de juegos,\N,\N,Sánchez de Bustamante 632,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/tjclubdejuegos?igsh=MXhteWVpYnh1c25icQ%3D%3D&utm_source=qr,\N,['Bar'],https://www.google.com/maps/search/?api=1&query=TJ%20Club%20de%20juegos&query_place_id=ChIJBYNhYQDLvJUR8kehhsql-Yg,Bar
Le Troquet de Henry,4.2,1592,"3460, AAD, Guardia Vieja",Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://facebook.com/letroquetdehenry.3460,+54 11 5141-1382,['Bar'],https://www.google.com/maps/search/?api=1&query=Le%20Troquet%20de%20Henry&query_place_id=ChIJX_GKw4vKvJUR78OmxuKYYM4,Bar
Casa Colombo,4.3,2900,Gallo 557,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.casacolombo.com.ar/,+54 11 2095-5024,"['Bar','Centro cultural','Cervecería artesanal','Sala de conciertos','Pub restaurante']",https://www.google.com/maps/search/?api=1&query=Casa%20Colombo&query_place_id=ChIJrbnblIvKvJURgvTEza_Uyn8,Bar
debar,4.2,3895,Lavalle 3602,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/debarbsas,\N,['Bar'],https://www.google.com/maps/search/?api=1&query=debar&query_place_id=ChIJBdTHTNXKvJUR9JugFVVDz7g,Bar
ORZO BAR Music & Brewery,4.7,107,Billinghurst 784,ABN,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/orzobarmusic?igsh=MWRwdmFtajJ1dmh0NQ==,+54 11 6367-6137,"['Cervecería artesanal','Bar']",https://www.google.com/maps/search/?api=1&query=ORZO%20BAR%20Music%20%26%20Brewery&query_place_id=ChIJ_2awDfXLvJURjt-nS7NUAzY,Cervecería artesanal
YUNTA,4.2,1445,Lavalle 3491,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/yuntabar,\N,['Bar'],https://www.google.com/maps/search/?api=1&query=YUNTA&query_place_id=ChIJqXGfmxLLvJURiTzx1OTgh4U,Bar
Musetta,4.4,2445,Billinghurst 894,ABP,Cdad. Autónoma de Buenos Aires,AR,http://www.musettacafe.com.ar/,+54 48674037,"['Pub restaurante','Bar']",https://www.google.com/maps/search/?api=1&query=Musetta&query_place_id=ChIJD1xGrYnKvJUR_b8bAYpbgPc,Pub restaurante
Esperanza Restó-Bar,4.2,195,Guardia Vieja,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/esperanzarestobar?utm_source=ig_profile_share&igshid=1d3vq94x4jjis,+54 11 3322-3226,"['Bar restaurante','Karaoke']",https://www.google.com/maps/search/?api=1&query=Esperanza%20Rest%C3%B3-Bar&query_place_id=ChIJqQFG0YvKvJURH867CJeF95k,Bar restaurante
Los Caminantes,4.4,2609,Lavalle 370q,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/loscaminantesburger,+54 11 2354-1273,"['Bar','Hamburguesería','Cervecería artesanal']",https://www.google.com/maps/search/?api=1&query=Los%20Caminantes&query_place_id=ChIJqSg5UG7KvJURnN9vpP60AXw,Bar
Club Calavera,5,5,Bulnes 998,C1176ABR,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/loscaminantesbaires,\N,['Bar con música en directo'],https://www.google.com/maps/search/?api=1&query=Club%20Calavera&query_place_id=ChIJtb81k0zLvJUR8Cc8QRdpemw,Bar con música en directo
KOBAR,4.8,9,Gallo 715,ABO,Cdad. Autónoma de Buenos Aires,AR,\N,\N,"['Pub restaurante','Snack bar']",https://www.google.com/maps/search/?api=1&query=KOBAR&query_place_id=ChIJd8Tq4ovKvJURBQeYd5Omr9c,Pub restaurante
Blghst Studio,5,1,Billinghurst 949,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,\N,[],https://www.google.com/maps/search/?api=1&query=Blghst%20Studio&query_place_id=ChIJbW98bgDLvJURJURAdiVyh0U,\N
Robesa,4.2,1690,Lavalle 3598,AAR,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4866-3999,['Restaurante'],https://www.google.com/maps/search/?api=1&query=Robesa&query_place_id=ChIJa1eMyInKvJURWkWGdTz3Ljs,Restaurante
Club Defensores de Almagro,4.6,179,Sánchez de Bustamante 724,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 5735-3383,['Restaurante'],https://www.google.com/maps/search/?api=1&query=Club%20Defensores%20de%20Almagro&query_place_id=ChIJnRSVxOTLvJURyV7QqYRKFiw,Restaurante
Severina Sabores,3.6,9,Humahuaca 4018,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 3015-2197,['Cafetería'],https://www.google.com/maps/search/?api=1&query=Severina%20Sabores&query_place_id=ChIJzdB2XDnLvJURsuvqGWnty78,Cafetería
El Banderín,4.2,4246,Guardia Vieja 3601,AAG,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 7054-2251,['Cafetería'],https://www.google.com/maps/search/?api=1&query=El%20Bander%C3%ADn&query_place_id=ChIJ_1Wjf4nKvJURPnfX2YRjGrM,Cafetería
JAQUE Café de Especialidad,4.8,120,Humahuaca 3914,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/jaque.cafedeespecialidad/profilecard/?igsh=Znh3MXd0ZzNtYXdi,\N,"['Cafetería apta para perros','Cafetería']",https://www.google.com/maps/search/?api=1&query=JAQUE%20Caf%C3%A9%20de%20Especialidad&query_place_id=ChIJ9ZbOBgDLvJURemdLEYQDATw,Cafetería apta para perros
El Guazuncho,4,294,Av. Medrano 632,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/elguazuncho_?utm_medium=copy_link,+54 11 4862-3227,['Restaurante'],https://www.google.com/maps/search/?api=1&query=El%20Guazuncho&query_place_id=ChIJc5eEGxXLvJURjlbNtUcke_s,Restaurante
La Zarpada,4.3,31,Bulnes 910,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4948-4604,"['Bar','Pizzería']",https://www.google.com/maps/search/?api=1&query=La%20Zarpada&query_place_id=ChIJcViHWQDLvJURf6lu3sGyjAI,Bar
Aport,4.2,1344,Bulnes 900,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://www.aportdespensa.com/,+54 11 6050-2139,"['Restaurante','Cervecería artesanal','Quesería','Cafetería','Tienda de delicatessen','Comida a domicilio','Pizzería','Bar','Restaurante de sushi','Tienda de vinos']",https://www.google.com/maps/search/?api=1&query=Aport&query_place_id=ChIJT7o-dkvLvJURphoTFMdMt04,Restaurante
Tédelúpulo Spa de Cerveza,4.8,1443,Mario Bravo 890,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://tedelupulo.com.ar/,+54 11 2529-9525,['Spa'],https://www.google.com/maps/search/?api=1&query=T%C3%A9del%C3%BApulo%20Spa%20de%20Cerveza&query_place_id=ChIJK-tzemLLvJURNJ8OrVQ0BlU,Spa
The Flour Store,4.4,2617,Humahuaca 3853,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/theflourstore,+54 11 6470-7500,['Hamburguesería'],https://www.google.com/maps/search/?api=1&query=The%20Flour%20Store&query_place_id=ChIJW8T9wZnLvJURynYU3WLFpIE,Hamburguesería
Los Gigantes de Salta,4.4,514,Tucumán 3600,AAR,Cdad. Autónoma de Buenos Aires,AR,https://losgigantesdesalta.com.ar/,+54 48627354,"['Restaurante','Pizzería']",https://www.google.com/maps/search/?api=1&query=Los%20Gigantes%20de%20Salta&query_place_id=ChIJoXOON4jKvJURe52tatLEXDE,Restaurante
Pal Karajo,4.3,505,Sánchez de Bustamante 1027,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/palkarajo_?utm_source=ig_profile_share&igshid=j6ybzdnsz2kx,+54 11 3098-5371,"['Hamburguesería','Bar']",https://www.google.com/maps/search/?api=1&query=Pal%20Karajo&query_place_id=ChIJSerKRhjLvJURO6trkvp1aws,Hamburguesería
B - Atrapasueños Café,5,19,Sánchez de Bustamante 730,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 7164-1978,['Cafetería'],https://www.google.com/maps/search/?api=1&query=B%20-%20Atrapasue%C3%B1os%20Caf%C3%A9&query_place_id=ChIJ_ed3IvvLvJURpBEhvqKbH4U,Cafetería
Ekeko Café y Vino,4.9,234,Bulnes 873,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/ekeko.cafeyvino,\N,['Cafetería'],https://www.google.com/maps/search/?api=1&query=Ekeko%20Caf%C3%A9%20y%20Vino&query_place_id=ChIJxcEm3tHLvJUR7oJBj9_JiTI,Cafetería
La Esquina de Mario Bravo,4.7,21,Mario Bravo 908,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 9 11 4862-5673,['Cafetería'],https://www.google.com/maps/search/?api=1&query=La%20Esquina%20de%20Mario%20Bravo&query_place_id=ChIJxbraDD3LvJURVHqK2GxyI7o,Cafetería
bulnes y humahuaca,4.6,12,Bulnes &,Humahuaca,Cdad. Autónoma de Buenos Aires,AR,\N,\N,['Bar'],https://www.google.com/maps/search/?api=1&query=bulnes%20y%20humahuaca&query_place_id=ChIJwZKps9vLvJUR1aaAyw_jgas,Bar
Horno a Leña Ambrosio,4.3,1083,Guardia Vieja 3552,AAF,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4862-9101,"['Restaurante','Comida','Alimentación y bebida','Pizzería']",https://www.google.com/maps/search/?api=1&query=Horno%20a%20Le%C3%B1a%20Ambrosio&query_place_id=ChIJtTq_gInKvJURA5hxZXemWk0,Restaurante
Naranjo & Flor,4,649,Bulnes 797,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/naranjoyflor?igsh=MTk5ODl4YnFpNjMxaA==,+54 11 4863-4972,"['Panadería','Restaurante de desayunos','Pastelería','Pastelería francesa','Snack bar']",https://www.google.com/maps/search/?api=1&query=Naranjo%20%26%20Flor&query_place_id=ChIJQWyNBWLKvJUR-CDvhbtxMns,Panadería
Dados en Mano,4.9,287,Billinghurst 818,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://www.dadosenmano.com.ar/,+54 11 2396-3689,['Tienda de juegos'],https://www.google.com/maps/search/?api=1&query=Dados%20en%20Mano&query_place_id=ChIJWwxtDou1vJUR0ZEkxbjPIc8,Tienda de juegos
Calzados Correa,4.8,400,Mario Bravo 750,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://www.calzadoscorrea.com.ar/,+54 11 4861-7344,['Zapatería'],https://www.google.com/maps/search/?api=1&query=Calzados%20Correa&query_place_id=ChIJRXESwYnKvJURP0P5PF7THHw,Zapatería
La Vermuteria,4.3,1117,Lavalle 3780,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://es-la.facebook.com/vermuteria/,+54 11 4865-6392,['Bar'],https://www.google.com/maps/search/?api=1&query=La%20Vermuteria&query_place_id=ChIJd3e1k2LKvJURvFfEc3iuttg,Bar
Medrano Social Club Vinoteca y Licoreria,4.9,126,Av. Medrano 718 C1179AAN,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/medranosocialclub?igshid=tlnccmxsoz12,+54 11 6360-1981,"['Vinoteca','Tienda de vinos','Mayorista e importador de vino']",https://www.google.com/maps/search/?api=1&query=Medrano%20Social%20Club%20Vinoteca%20y%20Licoreria&query_place_id=ChIJgRJzuxrLvJURaH1fCm1m_pQ,Vinoteca
Mancaniello Pascual Alberto,4,4,Guardia Vieja 3460,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4861-8694,['Bar'],https://www.google.com/maps/search/?api=1&query=Mancaniello%20Pascual%20Alberto&query_place_id=ChIJN8fT2ovKvJUR0m8EqwyOOtw,Bar
Bar Bados,4.2,43,Tucumán 3396,AAN,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4861-2028,"['Bar','Cafetería']",https://www.google.com/maps/search/?api=1&query=Bar%20Bados&query_place_id=ChIJu3CWEYnKvJURiZOzkdQ8ySM,Bar
Ladran Sancho Espacio de Arte,4.3,2200,Guardia Vieja 3811,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/ladran.sancho_ok/,\N,"['Bar','Auditorio','Café teatro']",https://www.google.com/maps/search/?api=1&query=Ladran%20Sancho%20Espacio%20de%20Arte&query_place_id=ChIJAUrhemLKvJURgzC4eqE3MhY,Bar
Club Cultural BULA,4.3,789,Bulnes 998,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/clubculturalbula/,\N,['Centro cultural'],https://www.google.com/maps/search/?api=1&query=Club%20Cultural%20BULA&query_place_id=ChIJCW29qL7LvJURPa3dSjcjBiU,Centro cultural
Uniendo Orillas - Bar Cultural,3.5,4,Sánchez de Bustamante 730,C1173ABN,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/uniendo.orillasbar/,\N,['Bar'],https://www.google.com/maps/search/?api=1&query=Uniendo%20Orillas%20-%20Bar%20Cultural&query_place_id=ChIJTVdpTgDLvJURpTi61Cd6P30,Bar
Patio Salguero,4.3,785,Jerónimo Salguero 741,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://strawpoll.com/cy6ezppxr,\N,['Parque'],https://www.google.com/maps/search/?api=1&query=Patio%20Salguero&query_place_id=ChIJgdQgQ2LKvJURzqSMDE1FLLE,Parque
Limu Poke,2.8,207,Sánchez de Bustamante 875,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,\N,['Restaurante'],https://www.google.com/maps/search/?api=1&query=Limu%20Poke&query_place_id=ChIJF-Z5hfPLvJURrWnI9KP8wI8,Restaurante
Granja San Carlos,4.8,18,Av. Medrano 816,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4865-9087,['Tienda de alimentación'],https://www.google.com/maps/search/?api=1&query=Granja%20San%20Carlos&query_place_id=ChIJiZp-AmPKvJUR2d5g8pQmKFk,Tienda de alimentación
CAFF - Club Atlético Fernández Fierro,4.5,2094,"ABN, Sánchez de Bustamante 772",Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://caff.ar/,\N,['Centro cultural'],https://www.google.com/maps/search/?api=1&query=CAFF%20-%20Club%20Atl%C3%A9tico%20Fern%C3%A1ndez%20Fierro&query_place_id=ChIJX63we4nKvJURiULjd_C7AYY,Centro cultural
The Coffee Store Abasto,4.2,71,Gallo 597,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.thecoffeestore.com/,\N,['Cafetería'],https://www.google.com/maps/search/?api=1&query=The%20Coffee%20Store%20Abasto&query_place_id=ChIJebyPDADLvJURasUW4W26gfw,Cafetería
Vicenta empanadas,2.4,83,"Sánchez de Bustamante 875, C1173ABO",Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://instagram.com/vicenta.empanadas,\N,['Restaurante'],https://www.google.com/maps/search/?api=1&query=Vicenta%20empanadas&query_place_id=ChIJT9mK2O7LvJURM35W2Kvr6OA,Restaurante
Uniclub,4.2,4459,Guardia Vieja 3360,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.uniclub.com.ar/,\N,"['Discoteca','Sala de conciertos']",https://www.google.com/maps/search/?api=1&query=Uniclub&query_place_id=ChIJ_4sMjYvKvJUR_YLuG1slp_w,Discoteca
"Ítaca, Complejo Teatral",4.7,697,Humahuaca 4027,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://panel.alternativateatral.com/teatro6919-,+54 11 7549-3926,"['Bar','Café teatro']",https://www.google.com/maps/search/?api=1&query=%C3%8Dtaca%2C%20Complejo%20Teatral&query_place_id=ChIJr6bqndXLvJUR15be8jpWxeE,Bar
Mediterránea Café Teatro,4.2,231,Tucumán 3378,AAN,Cdad. Autónoma de Buenos Aires,AR,http://mediterraneaespaciodearte.blogspot.com/,+54 11 2065-2644,"['Bar','Café teatro']",https://www.google.com/maps/search/?api=1&query=Mediterr%C3%A1nea%20Caf%C3%A9%20Teatro&query_place_id=ChIJof2uFonKvJUR_KHjXTEtrw8,Bar
Il Volo Helados Y Café,4.2,1124,Billinghurst 902,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.ilvologelato.com/,+54 11 4796-3122,['Heladería'],https://www.google.com/maps/search/?api=1&query=Il%20Volo%20Helados%20Y%20Caf%C3%A9&query_place_id=ChIJ8-O0rInKvJUR2HYhQs57Nuk,Heladería
Verdulería Víctor y Amparo,4,20,Gallo 902,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4864-1427,['Frutería'],https://www.google.com/maps/search/?api=1&query=Verduler%C3%ADa%20V%C3%ADctor%20y%20Amparo&query_place_id=ChIJz_8JL4nKvJUR20jiJgR7ebQ,Frutería
Resto Utrech Toro,\N,\N,"C1176ABS, Bulnes 1013",Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,\N,['Bar'],https://www.google.com/maps/search/?api=1&query=Resto%20Utrech%20Toro&query_place_id=ChIJBapDm2LKvJURAgvxKNInMk4,Bar
PIRRUKEN,4.2,195,Guardia Vieja 3700,AAH,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/pirruken/?hl=es,+54 9 11 5657-3114,['Pub restaurante'],https://www.google.com/maps/search/?api=1&query=PIRRUKEN&query_place_id=ChIJ9Q7IMCvLvJURd1WupOKrNbk,Pub restaurante
Mira Quien Vino,\N,\N,Sánchez de Bustamante 1004,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,\N,['Vinoteca'],https://www.google.com/maps/search/?api=1&query=Mira%20Quien%20Vino&query_place_id=ChIJLa9VrGvLvJURENAxP_8aLaQ,Vinoteca
Portón de Sánchez,4.5,778,Sánchez de Bustamante 1034,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://elportondesanchez.com.ar/,+54 11 7528-8019,"['Teatro','Arte','Café teatro']",https://www.google.com/maps/search/?api=1&query=Port%C3%B3n%20de%20S%C3%A1nchez&query_place_id=ChIJOXAW5IjKvJURZR9cRIMTiVY,Teatro
Comfy fully renovated 2-bedroom apartment in bar area Almagro,\N,\N,\N,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,\N,"['Alojamiento','Vacation rental']",https://www.google.com/maps/search/?api=1&query=Comfy%20fully%20renovated%202-bedroom%20apartment%20in%20bar%20area%20Almagro&query_place_id=ChIJreykyYnKvJURmyV_r3sUCRU,Alojamiento
El Bar de Kowalski,4.3,1854,Billinghurst 835,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://facebook.com/El-Bar-de-Kowalski-475188832605996/,\N,['Bar restaurante'],https://www.google.com/maps/search/?api=1&query=El%20Bar%20de%20Kowalski&query_place_id=ChIJF8X5pInKvJURXCPWp1sum1w,Bar restaurante
La Tata Cocina Casera,4.4,58,Bulnes 1013,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4864-5339,"['Pub restaurante','Restaurante']",https://www.google.com/maps/search/?api=1&query=La%20Tata%20Cocina%20Casera&query_place_id=ChIJfxeDQNHLvJURSHgqW4cC2dI,Pub restaurante
jose maria moreno,\N,\N,Sánchez de Bustamante,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,\N,['Bar'],https://www.google.com/maps/search/?api=1&query=jose%20maria%20moreno&query_place_id=ChIJf9DQSbXLvJURonUxowVDbLs,Bar
Spiagge Di Napoli,4.2,12986,Av. Independencia 3527,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://www.facebook.com/Spiagge-di-napoli-105900777951403/,+54 11 4931-4420,['Restaurante italiano'],https://www.google.com/maps/search/?api=1&query=Spiagge%20Di%20Napoli&query_place_id=ChIJnfiT6_jKvJURV--NaRpVlw0,Restaurante italiano
Los Tucu,4.4,1966,Maza 606,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,\N,+54 11 4932-4386,['Restaurante'],https://www.google.com/maps/search/?api=1&query=Los%20Tucu&query_place_id=ChIJGdl4SPjKvJURsRmAR-R5bJw,Restaurante
Al Sheik Restaurant,4.5,140,Av. Boedo 663,C1218AAC,Cdad. Autónoma de Buenos Aires,AR,https://www.instagram.com/restaurant_al_sheik?igsh=bXIxd3NmcnB5cWY3,+54 11 4801-0620,[],https://www.google.com/maps/search/?api=1&query=Al%20Sheik%20Restaurant&query_place_id=ChIJW502xOnLvJURyFh1HzcSpp8,\N
Tuy Salceda Restaurante,4.4,1510,Maza 457,ACI,Cdad. Autónoma de Buenos Aires,AR,http://www.facebook.com/TuySalcedaRestaurante/,+54 11 4957-1386,"['Restaurante','Sala de banquetes']",https://www.google.com/maps/search/?api=1&query=Tuy%20Salceda%20Restaurante&query_place_id=ChIJn4v0kvfKvJURZg7D-0IO99E,Restaurante
Jaimito,4.5,1845,Virrey Liniers 709,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,https://m.facebook.com/pages/Pizzeria-Jaimito/202564779778151,+54 11 4932-3372,"['Pizzería','Restaurante italiano','Restaurante']",https://www.google.com/maps/search/?api=1&query=Jaimito&query_place_id=ChIJOzvgBPnKvJURk8GObCPEBsQ,Pizzería
Ivi Resto,4,86,Av. Boedo 619,AAC,Cdad. Autónoma de Buenos Aires,AR,https://www.facebook.com/share/15Rf5TrExD/?mibextid=qi2Omg,+54 11 3091-4390,['Pub restaurante'],https://www.google.com/maps/search/?api=1&query=Ivi%20Resto&query_place_id=ChIJSwMIiPjKvJUR3jQECVT60Us,Pub restaurante
El Bar de Hot,4.4,680,Av. Boedo 440,Cdad. Autónoma de Buenos Aires,Cdad. Autónoma de Buenos Aires,AR,http://pizzalomashot.com/,\N,"['Bar','Tienda de cerveza','Coctelería']",https://www.google.com/maps/search/?api=1&query=El%20Bar%20de%20Hot&query_place_id=ChIJ55Pv9_fKvJURD61HMtkp9-4,Bar
